,Word,Times_Used
9572,speak,17
9571,another,17
9570,law,17
9569,.@hillaryclinton,17
9568,start,17
9567,also,17
9566,being,17
9565,them.,17
9564,i'm,17
9563,whether,16
9562,that’s,16
9561,getting,16
9560,vice,16
9559,people.,16
9558,political,16
9557,hear,16
9556,"""this",16
9555,dangerous,16
9554,immigration,16
9553,raise,16
9552,you’re,16
9551,children,16
9550,money,16
9549,now:,16
9548,star,16
9547,home,16
9546,won't,16
9545,"""he",16
9544,early,16
9543,trump:,16
9542,message,16
9541,year,16
9540,el,16
9539,war,16
9538,night,16
9537,away,16
9536,told,16
9535,standing,16
9534,ago,16
9533,debt,16
9532,today.,16
9531,democratic,16
9530,military,16
9529,leader,15
9528,calls,15
9527,commander-in-chief.,15
9526,week,15
9525,protect,15
9524,text,15
9523,create,15
9522,@berniesanders:,15
9521,nominee,15
9520,energy,15
9519,students,15
9518,middle,15
9517,there's,15
9516,vote:,15
9515,went,15
9514,exactly,15
9513,times,15
9512,during,15
9511,there’s,15
9510,"tonight,",15
9509,vp,15
9508,face,15
9507,register,15
9506,plans,15
9505,men,15
9504,fair,15
9503,listen,15
9502,lead,14
9501,once,14
9500,income,14
9499,https://t…,14
9498,won’t,14
9497,company,14
9496,free,14
9495,works,14
9494,taking,14
9493,30,14
9492,prepared,14
9491,para,14
9490,"today,",14
9489,pretty,14
9488,—@elizabethforma,14
9487,couldn't,14
9486,heart,14
9485,security,14
9484,then,14
9483,office,14
9482,hillary.,14
9481,women's,14
9480,means,14
9479,atlantic,14
9478,parents,14
9477,states,14
9476,thinks,14
9475,veterans,14
9474,lift,14
9473,release,14
9472,this.,13
9471,we’ll,13
9470,turn,13
9469,greatest,13
9467,end,13
9466,access,13
9465,enough,13
9464,lied,13
9463,three,13
9462,room,13
9461,nation,13
9460,close,13
9459,clean,13
9458,trying,13
9457,read,13
9456,debate.,13
9455,#imwithher,13
9454,@mayaharris_:,13
9453,"""no",13
9452,americans.,13
9451,campaign.,13
9450,community,13
9449,major,13
9448,around,13
9447,vision,13
9446,call,13
9445,easier,13
9444,hold,13
9443,feel,12
9442,"""it",12
9441,"""in",12
9440,far,12
9439,federal,12
9438,convention,12
9437,america's,12
9436,"say,",12
9435,tim,12
9434,attack,12
9433,tweet,12
9432,biggest,12
9431,reform,12
9430,oval,12
9429,@realdonaldtrump's,12
9428,single,12
9427,decision,12
9426,businesses,12
9425,house,12
9424,mental,12
9423,minimum,12
9422,again,12
9421,speech,12
9420,47246,12
9419,speaking,12
9418,now.,12
9417,education,12
9416,himself,12
9415,live:,12
9414,building,12
9413,celebrate,12
9412,nomination,12
9411,guy,12
9410,tonight.,12
9409,hillary:,12
9408,https://t.…,12
9407,vote.,12
9406,"""what",12
9405,hope,12
9404,tonight,12
9403,try,12
9402,seen,12
9401,saw,12
9400,#nbcnewsforum,12
9399,city,12
9398,asked,12
9397,"""i'm",11
9396,https://t.co/ttgeqy51pu,11
9395,world.,11
9394,few,11
9393,helping,11
9392,totally,11
9391,didn’t,11
9390,"night,",11
9389,https:/…,11
9388,might,11
9387,fear,11
9386,breaks,11
9385,mother,11
9384,immigrants,11
9383,too.,11
9382,day.,11
9381,tough,11
9380,equal,11
9379,honor,11
9378,election.,11
9377,8,11
9376,done,11
9375,idea,11
9374,20,11
9373,i’ve,11
9372,bad,11
9371,higher,11
9370,100,11
9369,dream,11
9368,shouldn’t,11
9367,endorses,11
9366,comes,11
9365,muslim,11
9364,reality,11
9363,isis,11
9362,voice,11
9361,we'll,11
9360,that.,11
9359,deserves,11
9358,whole,11
9357,imagine,11
9356,learn,11
9355,november,11
9354,they're,11
9353,"""i’m",11
9352,middle-class,11
9351,“the,11
9350,ways,11
9349,leave,11
9348,service,11
9347,today's,11
9346,foundation,11
9345,stay,10
9344,who's,10
9343,latinos,10
9342,night's,10
9341,"back,",10
9340,"women,",10
9339,questions,10
9338,por,10
9337,"clinton.""",10
9336,birthday,10
9335,endorsing,10
9334,https://t.c…,10
9333,"day,",10
9332,—,10
9331,progress,10
9330,entire,10
9329,—@corybooker,10
9328,built,10
9327,none,10
9326,represent,10
9325,"""it’s",10
9324,little,10
9323,grow,10
9322,"ago,",10
9321,do.,10
9320,voters,10
9319,aren't,10
9318,"up,",10
9317,friends,10
9316,house.,10
9315,discrimination,10
9314,cuts,10
9313,values,10
9312,barack,10
9311,else,10
9310,you've,10
9309,reject,10
9308,learned,10
9307,didn't,10
9306,"americans,",10
9305,break,10
9304,"vote,",10
9303,problem,10
9302,bring,10
9301,racist,10
9300,race,10
9299,send,10
9298,what's,10
9297,all.,10
9296,it:,10
9295,accept,10
9294,experience,10
9293,former,10
9292,believes,10
9291,#strongertogether,10
9290,sign,10
9289,team,10
9288,rich,10
9287,showed,10
9286,looking,10
9285,four,10
