,Word,Times_Used
9582,enforcement,16
9581,spending,16
9580,it.,16
9579,trade,16
9578,states,16
9577,give,16
9576,win!,16
9575,night.,15
9574,without,15
9573,soon!,15
9572,protect,15
9571,report,15
9570,.@realdonaldtrump,15
9569,hampshire,15
9568,immigration,15
9567,general,15
9566,killed,15
9565,policy,15
9564,now.,15
9563,@morning_joe,15
9562,dems,15
9561,border,15
9560,some,15
9559,since,15
9558,truly,15
9557,care,15
9556,still,15
9555,country.,15
9554,order,15
9553,work,15
9552,hope,15
9551,having,15
9550,great!,15
9549,trump's,15
9548,happy,15
9547,here,15
9546,democrats,14
9545,people.,14
9544,stand,14
9543,7:00,14
9542,hear,14
9541,delegates,14
9540,conference,14
9539,@,14
9538,anyone,14
9537,police,14
9536,nevada,14
9535,fantastic,14
9534,today!,14
9533,times,14
9532,officers,14
9531,help,14
9530,tomorrow!,14
9529,obamacare,14
9528,winning,14
9527,2,14
9526,donaldtrump,14
9525,fighting,13
9524,mike,13
9523,support!,13
9522,knows,13
9521,calls,13
9520,pennsylvania,13
9519,talking,13
9518,pence,13
9517,almost,13
9516,others,13
9515,judgement,13
9514,that's,13
9513,needs,13
9512,u,13
9511,pay,13
9510,morning,13
9509,"warren,",13
9508,save,13
9507,mexico,13
9506,street,13
9505,before,13
9504,horrible,13
9503,won't,13
9502,soon,13
9501,taken,13
9500,trying,13
9499,lot,13
9498,using,13
9497,increase,13
9496,economy,13
9495,let's,13
9494,true,13
9493,hillary!,13
9492,told,13
9491,again.,13
9490,become,13
9489,paul,13
9488,@tedcruz,13
9487,anything,13
9486,also,13
9485,open,13
9484,fox,13
9483,rally.,13
9482,until,13
9481,growth,12
9480,gets,12
9479,thousands,12
9478,=,12
9477,use,12
9476,pushing,12
9475,woman,12
9474,respect,12
9473,islamic,12
9472,took,12
9471,arizona,12
9470,arizona!,12
9469,carolina.,12
9468,v.p.,12
9467,secret,12
9466,statement,12
9465,least,12
9464,once,12
9463,"clinton,",12
9462,interesting,12
9461,left,12
9460,thoughts,12
9459,went,12
9458,prayers,12
9457,@donaldjtrumpjr:,12
9456,family,12
9455,tonight.,12
9454,thanks,12
9453,campaign.,12
9452,terrorism,12
9451,fact,12
9450,high,12
9449,d.c.,12
9448,30,12
9447,leadership,12
9446,policies,12
9445,knew,12
9444,sad,12
9443,allowed,12
9442,congratulations,12
9441,#debates,11
9440,white,11
9439,he's,11
9438,everything,11
9437,despite,11
9436,top,11
9435,already,11
9434,saturday,11
9433,end,11
9432,taking,11
9431,native,11
9430,president.,11
9429,jobs.,11
9428,common,11
9427,treated,11
9426,town,11
9425,paid,11
9424,texas,11
9423,everybody,11
9422,indiana,11
9421,interest,11
9420,#rncincle,11
9419,final,11
9418,emails,11
9417,speech.,11
9416,meet,11
9415,she's,11
9414,economic,11
9413,#gopdebate,11
9412,indiana!,11
9411,message,11
9410,families,11
9409,office,11
9408,"trump,",11
9407,taxes,11
9406,its,11
9405,november,11
9404,west,11
9403,nice!,11
9402,pennsylvania!,11
9401,obama's,11
9400,proven,11
9399,"jobs,",11
9398,tune,11
9397,disaster,11
9396,florida.,11
9395,incredible,10
9394,own,10
9393,lead,10
9392,refuses,10
9391,dumb,10
9390,wisconsin,10
9389,debate.,10
9388,check,10
9387,way!,10
9386,place,10
9385,100%,10
9384,happened,10
9383,pick,10
9382,corrupt,10
9381,days,10
9380,day.,10
9379,worse.,10
9378,supreme,10
9377,@danscavino:,10
9376,energy,10
9375,4,10
9374,behind,10
9373,may,10
9372,seen,10
9371,"""the",10
9370,lose,10
9369,attack,10
9368,started,10
9367,announced,10
9366,michael,10
9365,lying,10
9364,politicians,10
9363,america.,10
9362,read,10
9361,drop,10
9360,club,10
9359,#supertuesday,10
9358,word,10
9357,highly,10
9356,voter,10
9355,government,10
9354,less,10
9353,hampshire!,10
9352,warren,10
9351,small,10
9350,agree,10
9349,former,10
9348,destroy,10
9347,saw,10
9346,san,10
9345,russia,10
9344,team,10
9343,york!,10
9342,asked,10
9341,them.,10
9340,perhaps,9
9339,1,9
9338,usa,9
9337,back!,9
9336,long,9
9335,women.,9
9334,build,9
9333,political,9
9332,home,9
9331,friday,9
9330,"""@joenbc:",9
9329,case,9
9328,crime,9
9327,sure,9
9326,released,9
9325,given,9
9324,words,9
9323,victory,9
9322,biggest,9
9321,thanks.,9
9320,wow!,9
9319,rallies,9
9318,dishonest!,9
9317,wonder,9
9316,thing,9
9315,"hillary,",9
9314,dead,9
9313,@foxnews.,9
9312,questions,9
9311,–,9
9310,twitter,9
9309,group,9
9308,you're,9
9307,visit,9
9306,ready,9
9305,event,9
9304,tried,9
9303,iraq,9
9302,you-,9
9301,business,9
9300,between,9
9299,husband,9
9298,(and,9
9297,lindsey,9
9296,happen,9
9295,guy,9
9294,away,9
9293,dopey,9
9292,allow,9
9291,video,9
9290,president!,9
9289,results,9
9288,"president,",9
9287,set,9
9286,"it,",9
9285,beautiful,9
9284,tonight!,9
9283,tv,9
9282,"isis,",9
9281,pennsylvania.,9
9280,choice,9
9279,2nd,9
9278,came,9
9277,wrong,9
9276,win.,9
9275,florida!,9
9274,dnc,9
9273,replace,9
9272,"#trump2016
#makeamericagreatagain",9
9271,bought,8
9270,instead,8
9269,graham,8
9268,leading,8
9267,https:/…,8
9266,court,8
9265,wife,8
9264,oh,8
9263,joke!,8
9262,delegates.,8
9261,attacks,8
9260,wisconsin!,8
9259,nasty,8
9258,private,8
9257,absolutely,8
9256,i’m,8
9255,create,8
9254,joining,8
9253,house,8
9252,someone,8
9251,liar,8
9250,important,8
9249,video:,8
9248,out!,8
9247,nevada!,8
9246,shot,8
9245,disgusting,8
9244,happening,8
9243,super,8
9242,"now,",8
9241,#fitn,8
9240,third,8
9239,met,8
9238,signed,8
9237,"#makeamericagreatagain""",8
9236,chance,8
9235,"county,",8
9234,years.,8
9233,fraud!,8
9232,ohio.,8
9231,piece,8
9230,early,8
9229,television,8
9228,hall,8
9227,country!,8
9226,rnc,8
9225,virginia!,8
9224,created,8
9223,appreciate,8
9222,.@cnn,8
9221,him.,8
9220,terrorist,8
9219,h,8
9218,interests,8
9217,establishment,8
9216,defeat,8
9215,"
tickets:",8
9214,victims,8
9213,makes,8
9212,plan,8
9211,play,8
9210,self,8
9209,"remember,",8
9208,plane,8
9207,full,8
9206,past,8
9205,"@realdonaldtrump""",8
9204,future,8
